county_name	geoid	url	obs_count	iconic_taxon	common_name	sci_name	photo	photo_attribution	critter_obs_count
Mason County, TX	48319	http://www.inaturalist.org/observations?place_id=2431	125	26036	Western Diamondback Rattlesnake	Crotalus atrox	http://farm2.staticflickr.com/1275/1347727277_5dae0335df_s.jpg	(c) Jerry Oldenettel, some rights reserved (CC BY-NC-SA)	6
Callahan County, TX	48059	http://www.inaturalist.org/observations?place_id=2635	51	26036	Texas Horned Lizard	Phrynosoma cornutum	http://farm1.staticflickr.com/184/395828737_dc53a4b698_s.jpg	(c) Amy  Buthod, some rights reserved (CC BY-NC-SA)	3
Hall County, TX	48191	http://www.inaturalist.org/observations?place_id=2637	19	26036	Western Coachwhip	Coluber flagellum testaceus	http://static.inaturalist.org/photos/168523/square.jpg?1444563650	(c) Toby Hibbitts, all rights reserved	3
Kent County, TX	48263	http://www.inaturalist.org/observations?place_id=2638	27	26036	Plains Hognose Snake	Heterodon nasicus	http://farm6.staticflickr.com/5048/5373447917_e78cb00461_s.jpg	(c) francis crawley, some rights reserved (CC BY)	4
Goliad County, TX	48175	http://www.inaturalist.org/observations?place_id=2725	970	20978	Green Tree Frog	Hyla cinerea	http://farm3.staticflickr.com/2541/4006694337_bf14379e80_s.jpg	(c) GregTheBusker, some rights reserved (CC BY)	7
Sherman County, TX	48421	http://www.inaturalist.org/observations?place_id=2736	15	3	Ferruginous Hawk	Buteo regalis	http://farm4.staticflickr.com/3086/3129167285_5dc135a810_s.jpg	(c) Jerry Oldenettel, some rights reserved (CC BY-NC-SA)	2
Lubbock County, TX	48303	http://www.inaturalist.org/observations?place_id=2737	1231	3	Great-tailed Grackle	Quiscalus mexicanus	http://farm1.static.flickr.com/220/499109433_71225294e3_s.jpg	(c) Mike Baird, some rights reserved (CC BY)	24
Kleberg County, TX	48273	http://www.inaturalist.org/observations?place_id=2999	473	3	Piping Plover	Charadrius melodus	http://farm4.staticflickr.com/3591/3516560229_aa36b2bc3d_s.jpg	(c) David Maher, some rights reserved (CC BY-NC-SA)	13
Grayson County, TX	48181	http://www.inaturalist.org/observations?place_id=884	372	3	Great Blue Heron	Ardea herodias	http://farm4.staticflickr.com/3234/3020707979_b5bee7ddc0_s.jpg	(c) Mike Baird, some rights reserved (CC BY)	7
Concho County, TX	48095	http://www.inaturalist.org/observations?place_id=1224	53	26036	Western Diamondback Rattlesnake	Crotalus atrox	http://farm2.staticflickr.com/1275/1347727277_5dae0335df_s.jpg	(c) Jerry Oldenettel, some rights reserved (CC BY-NC-SA)	7
Montgomery County, TX	48339	http://www.inaturalist.org/observations?place_id=1225	440	26036	Green Anole	Anolis carolinensis	http://static.inaturalist.org/photos/2626904/square.jpg?1447012355	(c) Roberto R. Calderón, some rights reserved (CC BY-NC)	11
Eastland County, TX	48133	http://www.inaturalist.org/observations?place_id=1277	44	47126	Green milkweed	Asclepias viridis	http://farm4.staticflickr.com/3007/2636502424_559a3dd8c4_s.jpg	(c) Jerry Oldenettel, some rights reserved (CC BY-NC-SA)	2
Lynn County, TX	48305	http://www.inaturalist.org/observations?place_id=1278	9	3	American Coot	Fulica americana	http://static.inaturalist.org/photos/674184/square.jpg?1392313922	(c) Jerry Cannon, all rights reserved	1
Erath County, TX	48143	http://www.inaturalist.org/observations?place_id=1552	93	47126	Antelope-Horns	Asclepias asperula	http://farm5.staticflickr.com/4011/4598865694_084be60a51_s.jpg	(c) Susan Adams, some rights reserved (CC BY-NC-SA)	7
Reeves County, TX	48389	http://www.inaturalist.org/observations?place_id=402	365	3	Clark's Grebe	Aechmophorus clarkii	http://farm3.staticflickr.com/2356/2345883421_dac0f6850d_s.jpg	(c) Kevin Cole, some rights reserved (CC BY)	13
Taylor County, TX	48441	http://www.inaturalist.org/observations?place_id=403	225	47126	Broadleaf milkweed	Asclepias latifolia	http://farm4.staticflickr.com/3083/3664036604_028e9e22b3_s.jpg	(c) Gary Nored, some rights reserved (CC BY-NC)	20
Smith County, TX	48423	http://www.inaturalist.org/observations?place_id=404	391	26036	Copperhead	Agkistrodon contortrix	http://farm4.staticflickr.com/3385/3614626319_24c5ba54cf_s.jpg	(c) Jerry Oldenettel, some rights reserved (CC BY-NC-SA)	4
Falls County, TX	48145	http://www.inaturalist.org/observations?place_id=808	47	47126	Green milkweed	Asclepias viridis	http://farm4.staticflickr.com/3007/2636502424_559a3dd8c4_s.jpg	(c) Jerry Oldenettel, some rights reserved (CC BY-NC-SA)	3
Fannin County, TX	48147	http://www.inaturalist.org/observations?place_id=809	746	3	Ruby-throated Hummingbird	Archilochus colubris	http://static.inaturalist.org/photos/726156/square.jpg?1395004355	(c) jessicaw, some rights reserved (CC BY-NC), uploaded by Jessica	14
Fayette County, TX	48149	http://www.inaturalist.org/observations?place_id=810	220	47126	Pointed Phlox	Phlox cuspidata	http://static.inaturalist.org/photos/724502/square.jpg?1394921569	(c) James Mickley, some rights reserved (CC BY-NC)	17
Foard County, TX	48155	http://www.inaturalist.org/observations?place_id=811	11	3	Red-tailed Hawk	Buteo jamaicensis	http://farm4.staticflickr.com/3233/2939911664_a9e7513df5_s.jpg	(c) sarbhloh, some rights reserved (CC BY-NC-ND)	3
