"login","user_id","user_icon","identifications","species","wg","wg"
"daniel_folds",269252,"",18,15,0,0
"mouserk",313458,"https://static.inaturalist.org/attachments/users/icons/313458/medium.jpg?1475531871",18,19,0,0
"rolandwirth",314317,"https://static.inaturalist.org/attachments/users/icons/314317/medium.jpg?1508994726",18,12,0,0
"tylerh",393321,"https://static.inaturalist.org/attachments/users/icons/393321/medium.jpg?1502910781",18,14,0,0
"even928",393365,"",18,15,0,0
"hinatea",394281,"https://static.inaturalist.org/attachments/users/icons/394281/medium.jpg?1485193234",18,15,0,0
"aredmer",398295,"https://static.inaturalist.org/attachments/users/icons/398295/medium.jpg?1492999555",18,18,0,0
"steven_wilson",410670,"https://static.inaturalist.org/attachments/users/icons/410670/medium.jpg?1488510039",18,17,0,0
"upupa-epops",472970,"https://static.inaturalist.org/attachments/users/icons/472970/medium.jpg?1500923902",18,11,0,0
"rkc",652730,"",18,17,0,0
